,RateCodeID,RatecodeID,VendorID,dropoff_latitude,dropoff_longitude,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,pickup_latitude,pickup_longitude,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance
0,1.0,,1,40.7823371887207,-73.97216033935547,0.0,5.0,0.3,0.5,1,2,40.7892951965332,-73.9666290283203,N,0.0,0.0,5.8,2015-01-09 12:58:40,2015-01-09 12:54:55,0.5
1,1.0,,1,40.72048950195313,-73.94546508789062,0.5,12.5,0.3,0.5,1,1,40.72385025024415,-73.99256134033203,N,2.0,0.0,15.8,2015-01-13 23:19:17,2015-01-13 23:09:04,3.6
2,1.0,,1,40.72136688232422,-73.99478149414062,0.0,14.5,0.3,0.5,2,2,40.74909973144531,-73.99195861816406,N,0.0,0.0,15.3,2015-01-25 17:37:55,2015-01-25 17:17:28,2.3
3,1.0,,1,0.0,0.0,1.0,4.0,0.3,0.5,1,1,0.0,0.0,N,1.0,0.0,6.8,2015-01-22 19:00:38,2015-01-22 18:57:09,0.4
4,1.0,,2,40.73711013793945,-73.99817657470702,0.0,4.5,0.3,0.5,1,1,40.73374176025391,-73.9903793334961,N,1.7,0.0,7.0,2015-01-17 18:16:01,2015-01-17 18:11:48,0.48
5,1.0,,2,40.7244987487793,-73.84691619873048,1.0,17.5,0.3,0.5,1,1,40.76897048950195,-73.86266326904298,N,3.86,0.0,23.16,2015-01-29 18:51:13,2015-01-29 18:36:44,5.62
6,1.0,,1,40.72303009033203,-73.98271942138672,0.5,5.0,0.3,0.5,1,1,40.72935485839844,-73.9898681640625,N,1.26,0.0,7.56,2015-01-21 00:25:28,2015-01-21 00:20:57,0.7
7,1.0,,2,40.75390625,-73.97749328613281,0.5,4.5,0.3,0.5,3,2,40.76168823242188,-73.9750442504883,N,0.0,0.0,5.8,2015-01-10 21:33:44,2015-01-10 21:30:21,0.69
8,2.0,,1,40.6449089050293,-73.77810668945312,0.0,52.0,0.3,0.5,2,1,40.75905990600585,-73.9869384765625,N,11.62,5.33,69.75,2015-01-31 09:45:12,2015-01-31 09:17:26,17.4
9,2.0,,2,40.764610290527344,-73.9791488647461,0.0,52.0,0.3,0.5,1,2,40.64862823486328,-73.78453826904298,N,0.0,0.0,52.8,2015-01-31 16:23:13,2015-01-31 15:39:10,16.87
